C,mse_train,mae_train,rmse_train,r2_train,mse_test,mae_test,rmse_test,r2_test
0.0001,24971201.45445295,4431.1940572915155,4997.106117698915,-0.2044069435801721,25268689.42155798,4464.961063173685,5026.730420997618,-0.2199205112407652
0.0005,8137028.561953177,2223.8106161622572,2852.494471758054,0.6075364755663721,8193555.342381616,2232.474912477218,2862.2243115270185,0.6044592020411996
0.001,7460231.985007046,2090.8733429492277,2731.282245331851,0.6401796421735215,7481898.834301027,2095.1900807327743,2735.030993000559,0.6388161943137585
0.01,7225169.558207508,2034.3620643025604,2687.9045126188735,0.6515171429297475,7214406.802562699,2034.5632135909943,2685.6313853514916,0.6517288332071192
0.1,7222520.170690938,2032.392043770433,2687.411619205079,0.6516449274918872,7208452.353472964,2032.1404444307125,2684.5171513383993,0.6520161165978512
1.0,7222469.680429974,2032.2350667180765,2687.4022254169336,0.6516473627672555,7208082.460500687,2031.9385621245399,2684.4476984338135,0.6520339564644579
10.0,7222466.955580941,2032.219623433852,2687.4017185259013,0.6516474941881589,7208046.6529663885,2031.9184550255718,2684.4409747995614,0.6520356832332161
100.0,7222466.704753315,2032.2180829391966,2687.4016718663847,0.6516475062856778,7208043.0938117625,2031.9164467434389,2684.4403064582807,0.6520358548672885
