Model,Data,mse_train,mae_train,rmse_train,r2_train,predicted_train_mean,predicted_train_std,mse_test,mae_test,rmse_test,r2_test,predicted_test_mean,predicted_test_std,pval_ztest_r2,pval_ttest_r2,pval_ztest_mae,pval_ttest_mae,model_filename,"r2_diff, %","mae_diff, %"
LinearRegression_full_data,_full_data,6826651.737509017,1969.6975831767118,2612.6045685074837,0.6707348636714857,28672.204053613314,3729.162132596309,7173968.583778758,2019.7654831146522,2677.9043613827976,0.6536856861275211,28652.50144918014,3718.958845434011,5.4045416739945734e-21,4.6975954937559035e-18,5.2290464412480556e-30,3.0281436821909716e-24,#load_linear_regression.sav,0.017049177543964622,-50.06789993794041
LinearRegression_PCA_data,_PCA_data,7222351.321482224,2032.153383651805,2687.3802257084,0.6516530712232994,28672.20405361331,3675.7245037158336,7208008.948875366,2031.8693898702807,2684.4336157628136,0.6520374021986015,28648.225092256762,3668.108748304135,0.5512851710312956,0.5518513746236424,0.9321200393036136,0.9321916475678995,#load_linear_regression_pca.sav,-0.00038433097530210514,0.28399378152425925
Ridge_full_data,_full_data,6884107.80880334,1978.6470565683378,2623.6043398721927,0.6679641492348855,28672.204053613335,3692.241895820548,6967325.145176138,1991.6130152030532,2639.0841436537235,0.6636623529056417,28652.073892816137,3680.8621117598364,0.0005957015498641863,0.0007025021168340282,0.0018319501468811203,0.0020570185999759893,#load_ridge.sav,0.004301796329243768,-12.965958634715435
MultiOutputRegressor_LinearSVR_full_data,_full_data,7222466.955580941,2032.219623433852,2687.4017185259013,0.6516474941881589,28669.472350760152,3674.701214162252,7208046.6529663885,2031.9184550255718,2684.4409747995614,0.6520356832332161,28645.450144211954,3667.1325224252064,0.557175823523361,0.5577322782666123,0.9280611380469151,0.9281370729379627,#load_svr_oplimal.sav,-0.00038818904505721896,0.30116840828009117
RandomForestRegressor_full_data,_full_data,6360862.270207375,1916.7322864452406,2521.6761295794695,0.6932084042956788,28668.717383241183,3292.068296055751,7311949.5638744235,2051.4721756847375,2703.9268233488624,0.6470047361293674,28662.13210328766,3239.4569109182407,9.104435279427768e-279,1.7231685108054888e-97,1.4728096116193722e-228,6.608730730773414e-89,#load_random_forest_regression_optimal.sav,0.046203668166311385,-134.73988923949696
MultiOutputRegressor_AdaBoostRegressor_DecisionTreeRegressor_PCA_data,_PCA_data,7553676.172634033,2191.124898577151,2748.3144966848204,0.6356744628332893,28555.83973311844,3220.992081043897,7977991.342475224,2231.8320137553474,2824.3352349222696,0.6148606760583785,28550.694113874302,3209.866402871076,7.917803311733406e-38,4.4552697150642564e-29,4.9833883127752034e-36,5.2655334737195425e-28,#ada_load_wrapped_pca_3.sav,0.02081378677491086,-40.707115178196545
MultiOutputRegressor_AdaBoostRegressor_LinearSVR_PCA_data,_PCA_data,7568800.082661231,2140.921012973487,2750.8596622396813,0.6349424359295,28547.080242816388,3508.444800538727,7579790.405896087,2140.934119695708,2752.6985576519346,0.6340839919841148,28530.877997466934,3502.920471674093,0.5320355013492544,0.5326341468901485,0.9983301785578078,0.9983319316509851,#ada_load_wrapped_svr_pca.sav,0.0008584439453851456,-0.013106722220982192
MultiOutputRegressor_XGBRegressor_PCA_data,_PCA_data,2021099.411957345,1067.3974233350593,1421.5261811170456,0.9025180091700288,28671.939453125,4067.45703125,3160435.3775805193,1332.4527246713722,1777.5623644563123,0.8474335838786912,28676.37109375,3956.527587890625,0.0,1.0263005524313248e-202,0.0,9.820662296751365e-211,#load_xgb_end_test_1.sav,0.05508442529133761,-265.0553013363128
