C,mse_train,mae_train,rmse_train,r2_train,mse_test,mae_test,rmse_test,r2_test
0.001,7089753.879031965,2034.7970597605827,2662.4950655259318,0.6580450793683064,7261356.341391247,2058.808524463762,2694.2639963588194,0.6494681412202422
0.01,6841014.593902081,1973.4226504837184,2615.352589330154,0.6700421167762388,7052386.540674889,2004.219746797088,2655.138899887186,0.6595546544485283
0.1,6836836.56680636,1971.1439350929234,2614.553257797806,0.6702436247356296,7067384.419734631,2004.6615854000534,2657.954542963811,0.658829936039447
1.0,6836662.18816368,1970.9677023000172,2614.519774988657,0.6702520497213709,7069600.807810962,2004.8480163185927,2658.372336403107,0.6587234789663257
10.0,6836632.756934142,1970.9472539750195,2614.5143887378094,0.6702534669146836,7070037.740663046,2004.8855556537592,2658.4530159623127,0.6587020585981
100.0,6836658.749291437,1970.94486189195,2614.5190892150913,0.6702522046837596,7069678.068944064,2004.8239062587672,2658.389679601867,0.6587192811721087
