price day ahead;price actual
27.25;41.77
28.79;42.1
33.6;45.21
34.9;47.87
39.84;53.03
43.97;56.4
53.98;64.8
50.1;62.38
53.69;66.25
52.8;66.2
42.51;60.23
42;59.38
42.51;58.14
55.57;69.59
60.8;74.81
59.82;74.28
57.59;73.59
53.69;68.64
42.51;59.72
38.24;54.84
34.9;49.19
33.04;46.43
29.53;42.18
28.07;40.08
31.17;44.03
39.2;50.25
52.07;61.48
56.49;69.97
64.88;77.42
65.02;79.88
64.88;79.56
59.07;74.48
55.69;69.32
47.72;63.24
47.43;63.06
54.56;68.6
60.69;74.64
67.25;86.83
70.01;88.95
69;87.94
65.69;83.12
60.76;75.57
56.69;69.89
46.67;57.6
42.44;53.55
42.02;52.35
40;50.3
39.4;49.46
42.02;51.79
47.43;56.08
63.89;70.93
67.69;80.62
71.15;83.78
77.51;92.88
74.75;90.6
69.89;86.02
67.94;81.19
65.01;79.26
65.01;79.15
66.6;79.79
67.94;84.12
69.89;89.84
70.91;90.69
69.18;89.56
65.75;85.41
63.1;78.73
57.59;71.82
60.01;70.53
47.43;59.37
45.94;56.97
43.77;54.04
42;52.15
42.88;53.32
46.04;55.91
59.82;68.61
62.33;76.21
65.69;78.3
67.75;83.04
65.01;80.02
59.01;74.73
52.6;67.08
45.13;61.83
44.95;61.84
46.25;61.8
55.47;70.91
59.82;80.27
58.34;78.82
55.02;75.67
45;65.81
42;61.64
38.5;55.47
39.96;50.5
38.4;48.08
36.98;46.15
33.33;42.91
33.04;42.11
33.33;42.31
39.2;48.23
45.03;53.17
57.2;70.72
61.57;73.93
63.27;78.61
61.45;77.13
55.35;70.98
54.01;67.09
47.43;61.68
47.37;61.59
51.99;65
59.2;73.58
64.56;83.65
65;83.57
63.91;82.46
60.76;78.29
55.1;70.61
48;62.33
44.45;53.63
42.1;51.21
39.4;48.45
38;47.03
35;43.58
38;46.46
43.6;52.28
57.66;65.64
62.1;76.4
67.01;79.97
68.5;84.61
67;83.52
62.78;78.96
59.65;72.31
48.25;61.96
47.1;60.84
52.6;65.34
58.34;72.57
62.42;81.1
65;83.19
63.13;81.51
60.03;77.05
57.59;71.83
47.87;62.47
44.01;58.78
43.12;55.81
40.43;52.97
36.1;47.79
35;46.26
35;45.91
39.1;49.59
41.35;52.15
42.58;51.86
51.9;61.01
57.1;65.95
57.59;66.22
55.79;64.49
52.6;61.74
45.2;55.08
43.1;52.73
40.43;50.31
43.52;54.34
53.04;66.75
57.9;71.35
57.59;71.07
57.25;70.56
50.95;63.13
45.95;59.27
39.79;56.05
31.4;47.86
25.83;41.52
28.58;42.01
25.88;39.03
28.13;40.91
30;43.87
30.6;41.6
32.8;45.71
38.4;51.62
40.5;52.07
41;51.07
40.5;51.36
40.44;51.25
38.5;49.62
34.82;47.64
35.9;48.31
40.5;51.88
55.1;69.2
62.7;76.85
63.89;77.7
61.95;75.83
58.34;69.17
51.1;62.28
40.84;54.33
38;49.56
35.09;46.26
35;45.91
35.63;45.64
36.99;47.58
