C,mse_train,mae_train,rmse_train,r2_train,mse_test,mae_test,rmse_test,r2_test
0.0001,124.52118978134443,9.627240378289004,11.157504140003612,0.378157461168322,125.0071567572491,9.668629170960367,11.179068869065267,0.3572838112378439
0.0005,56.32773454536688,5.713692970953194,7.500563782438191,0.7187157068873986,56.29924035026885,5.72682214353131,7.498969769412374,0.7105112825753295
0.001,53.59818390266886,5.469660534563758,7.316105253067108,0.7323470915378915,53.49230318937688,5.474633668317756,7.309289847563246,0.7249482495614232
0.01,52.66265512485288,5.346778306648497,7.251803207319034,0.7370191236552794,52.48408533243988,5.344413022500509,7.239991133873665,0.7301390316578565
0.1,52.653921912832494,5.340216817317773,7.251200929919605,0.7370627372428179,52.46791718979804,5.33716242822474,7.238881160566949,0.7302229991763364
1.0,52.653926243082125,5.339621760222665,7.251201304685693,0.7370627156083995,52.4671707570726,5.336499603091379,7.238830324611481,0.7302269222649743
10.0,52.653935471037315,5.339562825909062,7.251201949491341,0.7370626695228464,52.46711072762267,5.336433851261276,7.238826256462,0.730227238340505
100.0,52.65393648003196,5.339555609300557,7.251202019863,0.7370626644838469,52.46709488989186,5.336425754463679,7.2388251558471035,0.7302273205667107
